Sample ID,Temperature (°C),pH,OD (mg/L),TDS (ppt),Salinity (ppt),Nutrient Level,,
1,30,8,6.5,15,15,Good,,
2,29,7.8,5.8,20,20,Poor,,
3,31,8.2,7,12,12,Excellent,,
4,33,6.5,4,25,25,Poor,,
5,28,8.5,6.8,10,10,Excellent,,
6,30,7.5,5.5,18,18,Good,,
7,29,8.1,6.2,14,14,Good,,
8,32,7,4.5,22,22,Poor,,
9,30,8.3,6.9,11,11,Excellent,,
10,29,7.9,5.9,16,16,Good,,
11,31,8,6.4,13,13,Excellent,,
12,28,7.7,5.7,19,19,Good,,
13,30,8.4,6.7,10,10,Excellent,,
14,29,7.6,5.6,17,17,Good,,
15,32,6.8,4.2,24,24,Poor,,
16,30,8.2,6.8,12,12,Excellent,,
17,29,7.8,5.9,15,15,Good,,
18,31,8.1,6.3,14,14,Excellent,,
19,28,7.9,5.8,16,16,Good,,
20,30,8,6.5,13,13,Excellent,,
21,29,7.7,5.7,18,18,Good,,
22,31,8.3,6.9,11,11,Excellent,,
23,28,7.6,5.6,17,17,Good,,
24,30,8.4,6.7,10,10,Excellent,,
25,29,7.8,5.9,15,15,Good,,
26,31,8.2,6.8,12,12,Excellent,,
27,28,7.9,5.8,16,16,Good,,
28,30,8,6.5,13,13,Excellent,,
29,29,7.7,5.7,18,18,Good,,
30,31,8.1,6.3,14,14,Excellent,,
31,28,7.6,5.6,17,17,Good,,
32,30,8.3,6.9,11,11,Excellent,,
33,29,7.8,5.9,15,15,Good,,
34,31,8.2,6.8,12,12,Excellent,,
35,28,7.9,5.8,16,16,Good,,
36,30,8,6.5,13,13,Excellent,,
37,29,7.7,5.7,18,18,Good,,
38,31,8.1,6.3,14,14,Excellent,,
39,28,7.6,5.6,17,17,Good,,
40,30,8.3,6.9,11,11,Excellent,,
41,29,7.8,5.9,15,15,Good,,
42,31,8.2,6.8,12,12,Excellent,,
43,28,7.9,5.8,16,16,Good,,
44,30,8,6.5,13,13,Excellent,,
45,29,7.7,5.7,18,18,Good,,
46,31,8.1,6.3,14,14,Excellent,,
47,28,7.6,5.6,17,17,Good,,
48,30,8.3,6.9,11,11,Excellent,,
49,29,7.8,5.9,15,15,Good,,
50,31,8.2,6.8,12,12,Excellent,,
51,29,7.9,5.9,16,16,Good,,
52,30,8,6.5,13,13,Excellent,,
53,31,8.1,6.3,14,14,Excellent,,
54,28,7.6,5.6,17,17,Good,,
55,30,8.3,6.9,11,11,Excellent,,
56,29,7.8,5.9,15,15,Good,,
57,31,8.2,6.8,12,12,Excellent,,
58,28,7.9,5.8,16,16,Good,,
59,30,8,6.5,13,13,Excellent,,
60,29,7.7,5.7,18,18,Good,,
61,31,8.1,6.3,14,14,Excellent,,
62,28,7.6,5.6,17,17,Good,,
63,30,8.3,6.9,11,11,Excellent,,
64,29,7.8,5.9,15,15,Good,,
65,31,8.2,6.8,12,12,Excellent,,
66,28,7.9,5.8,16,16,Good,,
67,30,8,6.5,13,13,Excellent,,
68,29,7.7,5.7,18,18,Good,,
69,31,8.1,6.3,14,14,Excellent,,
70,28,7.6,5.6,17,17,Good,,
71,30,8.3,6.9,11,11,Excellent,,
72,29,7.8,5.9,15,15,Good,,
73,31,8.2,6.8,12,12,Excellent,,
74,28,7.9,5.8,16,16,Good,,
75,30,8,6.5,13,13,Excellent,,
76,29,7.7,5.7,18,18,Good,,
77,31,8.1,6.3,14,14,Excellent,,
78,28,7.6,5.6,17,17,Good,,
79,30,8.3,6.9,11,11,Excellent,,
80,29,7.8,5.9,15,15,Good,,
81,31,8.2,6.8,12,12,Excellent,,
82,28,7.9,5.8,16,16,Good,,
83,30,8,6.5,13,13,Excellent,,
84,29,7.7,5.7,18,18,Good,,
85,31,8.1,6.3,14,14,Excellent,,
86,28,7.6,5.6,17,17,Good,,
87,30,8.3,6.9,11,11,Excellent,,
88,29,7.8,5.9,15,15,Good,,
89,31,8.2,6.8,12,12,Excellent,,
90,28,7.9,5.8,16,16,Good,,
91,30,8,6.5,13,13,Excellent,,
92,29,7.7,5.7,18,18,Good,,
93,31,8.1,6.3,14,14,Excellent,,
94,28,7.6,5.6,17,17,Good,,
95,30,8.3,6.9,11,11,Excellent,,
96,29,7.8,5.9,15,15,Good,,
97,31,8.2,6.8,12,12,Excellent,,
98,28,7.9,5.8,16,16,Good,,
99,30,8,6.5,13,13,Excellent,,
100,29,7.7,5.7,18,18,Good,,
